"","Tissue","Stage","cell_type_with_cluster","count","prop"
"168","SAT","Fibrosis","Adipocytes_1 (C25)",52,0.00380701369060693
"169","SAT","Fibrosis","Adipocytes_2 (C26)",278,0.0203528808843986
"170","SAT","Fibrosis","ACKR1 Endothelial cells (C9)",871,0.063767479317666
"171","SAT","Fibrosis","TAGLN Endothelial cells (C16)",507,0.0371183834834175
"172","SAT","Fibrosis","Blood vessels (C6)",1650,0.120799472875027
"173","SAT","Fibrosis","Erythroid cells (C17)",120,0.00878541620909291
"174","SAT","Fibrosis","Mast cells (C15)",334,0.0244527417819753
"175","SAT","Fibrosis","Platelets (C28)",2,0.000146423603484882
"176","SAT","Healthy","Naïve-Activated T cells (C1)",5,0.00305623471882641
"177","SAT","Healthy","CD8 Effector Memory (C0)",36,0.0220048899755501
"178","SAT","Healthy","CD8 Cytotoxic T cells (C4)",7,0.00427872860635697
"179","SAT","Healthy","CD4 T cells (C7)",17,0.0103911980440098
"180","SAT","Healthy","CD4 Proliferating T cells (C21)",5,0.00305623471882641
"181","SAT","Healthy","Plasma cells_1 (C19)",5,0.00305623471882641
"182","SAT","Healthy","Plasma cells_3 (C30)",18,0.0110024449877751
"183","SAT","Healthy","CD14 Monocytes (C3)",22,0.0134474327628362
"184","SAT","Healthy","CD16 Monocytes (C11)",23,0.0140586797066015
"185","SAT","Healthy","Macrophage (C5)",9,0.00550122249388753
"186","SAT","Healthy","Myeloid Dendritic cells (C10)",18,0.0110024449877751
"187","SAT","Healthy","Plasmacytoid dendritic cells (C22)",1,0.000611246943765281
"188","SAT","Healthy","TREM2 Dendritic cells (C23)",5,0.00305623471882641
"189","SAT","Healthy","Neutrophil (C14)",7,0.00427872860635697
"190","SAT","Healthy","CD56 dim NK cells (C2)",22,0.0134474327628362
"191","SAT","Healthy","CD56 high NK cells (C12)",1,0.000611246943765281
"192","SAT","Healthy","Fibroblasts (C13)",166,0.101466992665037
"193","SAT","Healthy","Adipocytes_1 (C25)",222,0.135696821515892
"194","SAT","Healthy","Adipocytes_2 (C26)",6,0.00366748166259169
"195","SAT","Healthy","ACKR1 Endothelial cells (C9)",380,0.232273838630807
"196","SAT","Healthy","TAGLN Endothelial cells (C16)",79,0.0482885085574572
"197","SAT","Healthy","Blood vessels (C6)",561,0.342909535452323
"198","SAT","Healthy","Erythroid cells (C17)",10,0.00611246943765281
"199","SAT","Healthy","Mast cells (C15)",11,0.00672371638141809
"200","SAT","No_fibrosis","Naïve-Activated T cells (C1)",8,0.00807265388496468
"201","SAT","No_fibrosis","CD8 Effector Memory (C0)",240,0.24217961654894
"202","SAT","No_fibrosis","CD8 Cytotoxic T cells (C4)",29,0.029263370332997
"203","SAT","No_fibrosis","CD4 T cells (C7)",78,0.0787083753784057
"204","SAT","No_fibrosis","CD4 Proliferating T cells (C21)",6,0.00605449041372351
"205","SAT","No_fibrosis","Naïve B cells (C8)",14,0.0141271442986882
"206","SAT","No_fibrosis","B cells (C27)",1,0.00100908173562059
"207","SAT","No_fibrosis","Plasma cells_1 (C19)",9,0.00908173562058527
"208","SAT","No_fibrosis","CD14 Monocytes (C3)",21,0.0211907164480323
"209","SAT","No_fibrosis","CD16 Monocytes (C11)",41,0.041372351160444
"210","SAT","No_fibrosis","Macrophage (C5)",154,0.15539858728557
"211","SAT","No_fibrosis","Myeloid Dendritic cells (C10)",40,0.0403632694248234
"212","SAT","No_fibrosis","Plasmacytoid dendritic cells (C22)",6,0.00605449041372351
"213","SAT","No_fibrosis","Neutrophil (C14)",25,0.0252270433905146
"214","SAT","No_fibrosis","CD56 dim NK cells (C2)",89,0.0898082744702321
"215","SAT","No_fibrosis","CD56 high NK cells (C12)",25,0.0252270433905146
"216","SAT","No_fibrosis","Fibroblasts (C13)",7,0.0070635721493441
"217","SAT","No_fibrosis","Adipocytes_2 (C26)",21,0.0211907164480323
"218","SAT","No_fibrosis","ACKR1 Endothelial cells (C9)",19,0.0191725529767911
"219","SAT","No_fibrosis","TAGLN Endothelial cells (C16)",28,0.0282542885973764
"220","SAT","No_fibrosis","Blood vessels (C6)",94,0.094853683148335
"221","SAT","No_fibrosis","Erythroid cells (C17)",2,0.00201816347124117
"222","SAT","No_fibrosis","Mast cells (C15)",33,0.0332996972754793
"223","SAT","No_fibrosis","Platelets (C28)",1,0.00100908173562059
"224","VAT","Fibrosis","Naïve-Activated T cells (C1)",3321,0.0965014238391352
"225","VAT","Fibrosis","CD8 Effector Memory (C0)",6666,0.193700238275121
"226","VAT","Fibrosis","CD8 Cytotoxic T cells (C4)",1513,0.0439646655430929
"227","VAT","Fibrosis","CD4 T cells (C7)",1809,0.0525658162375777
"228","VAT","Fibrosis","CD4 Proliferating T cells (C21)",169,0.00491079211948626
"229","VAT","Fibrosis","Naïve B cells (C8)",739,0.0214738187946766
"230","VAT","Fibrosis","B cells (C27)",12,0.00034869529842506
"231","VAT","Fibrosis","Plasma cells_1 (C19)",111,0.0032254315104318
"232","VAT","Fibrosis","Plasma cells_3 (C30)",1,2.90579415354216e-05
"233","VAT","Fibrosis","CD14 Monocytes (C3)",1313,0.0381530772360086
"234","VAT","Fibrosis","CD16 Monocytes (C11)",1200,0.034869529842506
"235","VAT","Fibrosis","Macrophage (C5)",3646,0.105945254838147
"236","VAT","Fibrosis","Myeloid Dendritic cells (C10)",1301,0.0378043819375835
"237","VAT","Fibrosis","Plasmacytoid dendritic cells (C22)",116,0.00337072121810891
"238","VAT","Fibrosis","TREM2 Dendritic cells (C23)",413,0.0120009298541291
"239","VAT","Fibrosis","Neutrophil (C14)",895,0.0260068576742024
"240","VAT","Fibrosis","CD56 dim NK cells (C2)",3035,0.0881908525600047
"241","VAT","Fibrosis","CD56 high NK cells (C12)",531,0.0154297669553089
"242","VAT","Fibrosis","Fibroblasts (C13)",1846,0.0536409600743883
"243","VAT","Fibrosis","Mesothelial cells (C24)",605,0.0175800546289301
"244","VAT","Fibrosis","Adipocytes_1 (C25)",15,0.000435869123031324
"245","VAT","Fibrosis","Adipocytes_2 (C26)",96,0.00278956238740048
"246","VAT","Fibrosis","ACKR1 Endothelial cells (C9)",1593,0.0462893008659267
"247","VAT","Fibrosis","TAGLN Endothelial cells (C16)",562,0.016330563142907
"248","VAT","Fibrosis","Blood vessels (C6)",1549,0.0450107514383681
"249","VAT","Fibrosis","Erythroid cells (C17)",577,0.0167664322659383
"250","VAT","Fibrosis","Mast cells (C15)",763,0.0221712093915267
"251","VAT","Fibrosis","Platelets (C28)",17,0.000493985006102168
"252","VAT","Healthy","Naïve-Activated T cells (C1)",269,0.0537033339988022
"253","VAT","Healthy","CD8 Effector Memory (C0)",34,0.00678778199241366
"254","VAT","Healthy","CD8 Cytotoxic T cells (C4)",54,0.0107805949291276
"255","VAT","Healthy","CD4 T cells (C7)",53,0.0105809542822919
"256","VAT","Healthy","CD4 Proliferating T cells (C21)",34,0.00678778199241366
"257","VAT","Healthy","Naïve B cells (C8)",29,0.00578957875823518
"258","VAT","Healthy","Plasma cells_1 (C19)",131,0.0261529247354761
"259","VAT","Healthy","Plasma cells_3 (C30)",18,0.00359353164304252
"260","VAT","Healthy","CD14 Monocytes (C3)",78,0.0155719704531843
"261","VAT","Healthy","CD16 Monocytes (C11)",17,0.00339389099620683
"262","VAT","Healthy","Macrophage (C5)",9,0.00179676582152126
"263","VAT","Healthy","Myeloid Dendritic cells (C10)",21,0.00419245358354961
"264","VAT","Healthy","Plasmacytoid dendritic cells (C22)",4,0.000798562587342783
"265","VAT","Healthy","TREM2 Dendritic cells (C23)",16,0.00319425034937113
"266","VAT","Healthy","Neutrophil (C14)",54,0.0107805949291276
"267","VAT","Healthy","CD56 dim NK cells (C2)",60,0.0119784388101417
"268","VAT","Healthy","CD56 high NK cells (C12)",10,0.00199640646835696
"269","VAT","Healthy","Fibroblasts (C13)",1248,0.249151527250948
"270","VAT","Healthy","Mesothelial cells (C24)",31,0.00618886005190657
"271","VAT","Healthy","Adipocytes_1 (C25)",228,0.0455180674785386
"272","VAT","Healthy","Adipocytes_2 (C26)",8,0.00159712517468557
"273","VAT","Healthy","ACKR1 Endothelial cells (C9)",494,0.0986224795368337
"274","VAT","Healthy","TAGLN Endothelial cells (C16)",436,0.0870433220203633
"275","VAT","Healthy","Blood vessels (C6)",1582,0.315831503294071
"276","VAT","Healthy","Erythroid cells (C17)",76,0.0151726891595129
"277","VAT","Healthy","Mast cells (C15)",12,0.00239568776202835
"278","VAT","Healthy","Platelets (C28)",3,0.000598921940507087
"279","VAT","No_fibrosis","Naïve-Activated T cells (C1)",1697,0.237708362515758
"280","VAT","No_fibrosis","CD8 Effector Memory (C0)",1744,0.244291917635523
"281","VAT","No_fibrosis","CD8 Cytotoxic T cells (C4)",181,0.0253536909931363
"282","VAT","No_fibrosis","CD4 T cells (C7)",368,0.0515478358313489
"283","VAT","No_fibrosis","CD4 Proliferating T cells (C21)",35,0.00490264742961199
"284","VAT","No_fibrosis","Naïve B cells (C8)",164,0.0229724050987533
"285","VAT","No_fibrosis","B cells (C27)",2,0.000280151281692114
"286","VAT","No_fibrosis","Plasma cells_1 (C19)",13,0.00182098333099874
"287","VAT","No_fibrosis","CD14 Monocytes (C3)",149,0.0208712704860625
"288","VAT","No_fibrosis","CD16 Monocytes (C11)",190,0.0266143717607508
"289","VAT","No_fibrosis","Macrophage (C5)",749,0.104916654993697
"290","VAT","No_fibrosis","Myeloid Dendritic cells (C10)",187,0.0261941448382126
"291","VAT","No_fibrosis","Plasmacytoid dendritic cells (C22)",24,0.00336181538030537
"292","VAT","No_fibrosis","TREM2 Dendritic cells (C23)",16,0.00224121025353691
"293","VAT","No_fibrosis","Neutrophil (C14)",231,0.0323574730354391
"294","VAT","No_fibrosis","CD56 dim NK cells (C2)",484,0.0677966101694915
"295","VAT","No_fibrosis","CD56 high NK cells (C12)",171,0.0239529345846757
"296","VAT","No_fibrosis","Fibroblasts (C13)",44,0.0061633281972265
"297","VAT","No_fibrosis","Mesothelial cells (C24)",37,0.0051827987113041
"298","VAT","No_fibrosis","Adipocytes_2 (C26)",2,0.000280151281692114
"299","VAT","No_fibrosis","ACKR1 Endothelial cells (C9)",251,0.0351589858523603
"300","VAT","No_fibrosis","TAGLN Endothelial cells (C16)",33,0.00462249614791988
"301","VAT","No_fibrosis","Blood vessels (C6)",128,0.0179296820282953
"302","VAT","No_fibrosis","Erythroid cells (C17)",9,0.00126068076761451
"303","VAT","No_fibrosis","Mast cells (C15)",224,0.0313769435495167
"304","VAT","No_fibrosis","Platelets (C28)",6,0.000840453845076341
