"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"167",7.54062372880247e-173,1.31814666168717,0.779,0.665,9.80281084744321e-171,"16","Hu.CD36"
"168",2.56650636492204e-116,0.378761868167862,0.954,0.913,3.33645827439865e-114,"16","Hu.CD49b"
"169",6.82772752172961e-109,0.632468010462294,0.944,0.885,8.87604577824849e-107,"16","Hu.CD39"
"170",5.2756013722119e-66,0.33349351174836,0.906,0.819,6.85828178387546e-64,"16","Hu.TCR.Vd2"
"171",0,0.282199108839878,1,0.995,0,"17","Hu.CD58"
"172",1.04852235073619e-190,0.663363490119981,0.99,0.972,1.36307905595705e-188,"17","Hu.CD47"
"173",8.05433700296439e-123,0.324910678528122,0.984,0.94,1.04706381038537e-120,"17","Hu.CD35"
"174",1.14535628090634e-40,-0.356401253338191,0.947,0.957,1.48896316517825e-38,"17","Hu.CD54"
"175",4.14742916303579e-34,0.25108603587696,0.828,0.779,5.39165791194652e-32,"17","Hu.CD196"
"176",7.82993793095882e-31,-0.340584813177115,0.851,0.871,1.01789193102465e-28,"17","Hu.CLEC12A"
"177",1.57696203444651e-17,-0.282826509367771,0.878,0.886,2.05005064478046e-15,"17","Hu.CD39"
"178",1.15711116027716e-12,-0.413388987157412,0.81,0.825,1.50424450836031e-10,"17","Hu.CD62P"
"179",1.90017069671842e-06,-0.326261790958415,0.591,0.599,0.000247022190573395,"17","Hu.CD21"
"180",0.000706620997000265,0.291555977621858,0.978,0.974,0.0918607296100344,"17","Hu.CD71"
"181",0,1.61430090858047,0.983,0.909,0,"18","Hu.CD13"
"182",0,1.55515239960129,0.98,0.913,0,"18","Hu.CD49b"
"183",0,0.975788891374486,0.999,0.972,0,"18","Hu.CD47"
"184",0,0.519891329322443,1,0.986,0,"18","Hu.CD112"
"185",0,0.474748526517331,1,0.992,0,"18","Hu.CD95"
"186",0,0.722494881661793,1,0.996,0,"18","Hu.CD224"
"187",2.62691993896149e-273,0.622220451341547,0.966,0.94,3.41499592064994e-271,"18","Hu.CD73"
"188",4.21532906463397e-182,0.59222601196271,1,0.995,5.47992778402417e-180,"18","Hu.CD29"
"189",1.18461629159201e-149,0.670545127456836,1,0.995,1.54000117906961e-147,"18","HuMs.CD49f"
"190",1.85620644051744e-45,0.855053368920504,0.915,0.913,2.41306837267268e-43,"18","Hu.CD146"
"191",0,0.987014379343575,0.978,0.973,0,"19","Hu.CD38-HIT2"
"192",1.96532563839952e-195,0.738826876146035,0.915,0.87,2.55492332991937e-193,"19","Hu.CD40"
"193",3.91260549318116e-166,0.536336507974637,0.991,0.972,5.0863871411355e-164,"19","Hu.CD47"
"194",4.91556933788122e-44,0.432074765192948,0.937,0.941,6.39024013924559e-42,"19","Hu.HLA.ABC"
"195",1.78097787895124e-43,0.379533375565817,0.763,0.78,2.31527124263661e-41,"19","Hu.CD196"
"196",2.37186614310704e-24,0.402920705154754,0.898,0.886,3.08342598603915e-22,"19","Hu.CD39"
"197",3.67628164321771e-12,0.423651275349352,0.986,0.962,4.77916613618302e-10,"19","Hu.CD48"
"198",1.67136240295873e-09,0.591267282143014,0.616,0.599,2.17277112384635e-07,"19","Hu.CD27"
"199",0.000494730025601171,0.712693143604709,0.769,0.827,0.0643149033281523,"19","Hu.CD19"
"200",0.0070471020008273,0.571548838019643,0.954,0.957,0.91612326010755,"19","Hu.CD54"
"201",0,1.09655126384685,0.991,0.972,0,"20","Hu.CD47"
"202",0,1.46644333052428,0.999,0.98,0,"20","Hu.CD49a"
"203",0,0.679829961069607,1,0.996,0,"20","Hu.CD224"
"204",1.57140687204484e-289,0.807909575056088,0.952,0.94,2.04282893365829e-287,"20","Hu.CD73"
"205",2.07196604898763e-235,0.535422245777905,0.997,0.995,2.69355586368393e-233,"20","Hu.CD29"
"206",5.24049510852682e-219,0.385924065089205,0.995,0.992,6.81264364108486e-217,"20","Hu.CD95"
"207",6.35817025343407e-132,0.545080635335879,0.968,0.97,8.26562132946429e-130,"20","Hu.CD155"
"208",4.07098067394243e-120,-0.251194926912178,0.981,0.996,5.29227487612516e-118,"20","Hu.CD270"
"209",1.73332480775427e-45,0.323546757925449,0.889,0.941,2.25332225008055e-43,"20","Hu.CD35"
"210",2.53522103660634e-32,-0.269945632012676,0.877,0.982,3.29578734758824e-30,"20","Hu.CD107a"
